Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
1/8/2020,98.4280014,104.1600037,98.4280014,104.1600037,99.69799805,105.6800003,93.64600372,101.1900024,94.73999786,101.1900024,155721500,1041300
1/9/2020,96.26799774,102.7399979,96.26799774,102.7399979,99.76000214,105.5999985,94.5739975,101.2300034,99.41999817,105.4000015,142202000,1030600
1/10/2020,95.62999725,104.5199966,95.62999725,104.5199966,96.98799896,106.1100006,94.73999786,103.0999985,96.35800171,103.2300034,64797500,1119000
1/13/2020,104.9720001,103.0800018,104.9720001,103.0800018,105.1259995,106.1399994,98.40000153,102.7200012,98.69999695,105.1100006,132588000,875000
1/14/2020,107.5839996,104.0199966,107.5839996,104.0199966,109.4820023,104.6200027,104.9800034,101.0100021,108.8519974,103.3700027,144981000,741400
1/15/2020,103.6999969,103.6100006,103.6999969,103.6100006,107.5680008,105.5,103.3580017,102.8649979,105.9520035,104.3899994,86844000,558400
1/16/2020,102.697998,102.6999969,102.697998,102.6999969,102.8919983,104.9899979,98.43399811,100.4199982,98.75,104.3199997,108683500,1121500
1/17/2020,102.0999985,104.75,102.0999985,104.75,103.1340027,105.5999985,100.6320038,102.0999985,101.5220032,102.9000015,68145500,652700
1/21/2020,109.4400024,107.5299988,109.4400024,107.5299988,109.7160034,108.8099976,105.6819992,103.9100037,106.0500031,105.0699997,89017500,1102600
1/22/2020,113.9120026,108.4599991,113.9120026,108.4599991,118.9000015,108.9499969,111.8199997,106.5500031,114.3779984,108.3499985,156845000,639000
1/23/2020,114.4400024,108.7300034,114.4400024,108.7300034,116.4000015,110.8249969,111.1200027,106.7799988,112.8499985,108.3899994,98255000,768500
1/24/2020,112.9639969,110.1299973,112.9639969,110.1299973,114.7720032,112.9899979,110.8519974,109.4100037,114.1259995,109.9899979,71768000,950000
1/27/2020,111.6039963,96.25,111.6039963,96.25,112.8880005,105,107.8560028,96,108.3980026,105,68040500,2811700
1/28/2020,113.3799973,103.3600006,113.3799973,103.3600006,115.3619995,103.8700027,111.6159973,97.66999817,113.697998,99.26000214,58942500,1484700
1/29/2020,116.197998,102.7099991,116.197998,102.7099991,117.9599991,105.4000015,113.4860001,102.2900009,115.1380005,103.75,89007500,1152500
1/30/2020,128.1620026,103.2200012,128.1620026,103.2200012,130.1759949,103.6999969,123.5999985,100.3499985,126.4840012,102.0100021,145028500,786100
1/31/2020,130.1139984,97.86000061,130.1139984,97.86000061,130.6000061,103.0500031,126.5039978,96.5,128,103.0199966,78596500,1086200
2/3/2020,156,100.9800034,156,100.9800034,157.2279968,101.8600006,134.7039948,97.66000366,134.7380066,98.16000366,236167500,1018300
2/4/2020,177.4120026,107.8099976,177.4120026,107.8099976,193.7980042,108.1399994,166.776001,102.4440002,176.5919952,102.8000031,304694000,1217900
2/5/2020,146.9400024,104.4700012,146.9400024,104.4700012,169.1959991,109.9000015,140.8220062,101.5299988,164.6519928,109.8199997,242119000,1133600
2/6/2020,149.7920074,103.9400024,149.7920074,103.9400024,159.1660004,106,137.3999939,102.2549973,139.9839935,104.5,199404000,737700
2/7/2020,149.6139984,100.6200027,149.6139984,100.6200027,153.9499969,103.4499969,146,99.77999878,146.1100006,102.9499969,85317500,576000
2/10/2020,154.2559967,102.5999985,154.2559967,102.5999985,163.9980011,103.5999985,150.4799957,100,160,100.6200027,123446000,846900
2/11/2020,154.8760071,106.0299988,154.8760071,106.0299988,156.7019958,107.3199997,151.6000061,102.7099991,153.7579956,102.9000015,58487500,1034800
2/12/2020,153.4579926,111.8600006,153.4579926,111.8600006,157.9499969,112.2699966,152.673996,107.4150009,155.5740051,107.9599991,60112500,912000
2/13/2020,160.8000031,111.1600037,160.8000031,111.1600037,163.6000061,113.1999969,147,108.6900024,148.3679962,109.6299973,131446500,1197600
2/14/2020,160.0059967,111.2099991,160.0059967,111.2099991,162.5939941,113.0199966,157.1000061,110.2399979,157.4440002,112.2600021,78468500,845700
2/18/2020,171.6799927,108.3799973,171.6799927,108.3799973,172,111.5,166.4720001,106.5599976,168.3200073,111.4599991,81908500,1156600
2/19/2020,183.4839935,127.8199997,183.4839935,127.8199997,188.9559937,128.8000031,180.2039948,114.2649994,184.6999969,114.9599991,127115000,4884800
2/20/2020,179.8820038,142.1999969,179.8820038,142.1999969,182.3999939,143.7299957,171.9880066,128.1199951,182.3899994,138.25,88174500,6533800
2/21/2020,180.1999969,142.0700073,180.1999969,142.0700073,182.6119995,142.4949951,176.0899963,135.0500031,181.3959961,140.2700043,71574000,2458900
2/24/2020,166.7579956,135.6300049,166.7579956,135.6300049,172.6999969,138.8699951,164.4400024,129.4600067,167.8000031,131.4299927,75961000,2143800
2/25/2020,159.9819946,133,159.9819946,133,171.3200073,137.9900055,157.3999939,132.0899963,169.8000031,136.5700073,86452500,1790700
2/26/2020,155.7599945,132.4100037,155.7599945,132.4100037,162.6620026,134.4900055,155.2220001,128.5,156.5,129.75,70427500,2046200
2/27/2020,135.8000031,125.9499969,135.8000031,125.9499969,147.9539948,128.5,133.8000031,116.5,146,126.7799988,121386000,3111000
2/28/2020,133.5980072,124.7200012,133.5980072,124.7200012,138.1040039,126.1999969,122.3040009,116.8000031,125.9400024,118.2600021,122821000,2428100
3/2/2020,148.723999,128.6999969,148.723999,128.6999969,148.7380066,129,137.3339996,121.4499969,142.2519989,128.0599976,100975000,1467200
3/3/2020,149.102005,128.6600037,149.102005,128.6600037,161.3959961,134.5180054,143.2220001,126.2600021,161,134.4199982,128920000,1630800
3/4/2020,149.8999939,135.7100067,149.8999939,135.7100067,153.3040009,135.9499969,144.9459991,130.0050049,152.7920074,132.9100037,75245000,880000
3/5/2020,144.9080048,137.5399933,144.9080048,137.5399933,149.1499939,138.8200073,143.6139984,129.3699951,144.7539978,131.1900024,54263500,1147300
3/6/2020,140.6959991,133.3399963,140.6959991,133.3399963,141.3999939,135.8500061,136.8540039,127.7099991,138,131.4299927,63314500,1432400
3/9/2020,121.5999985,111.6600037,121.5999985,111.6600037,132.6000061,119.5279999,121,109.4599991,121.0780029,116.9199982,85368500,1822300
3/10/2020,129.0659943,116.9199982,129.0659943,116.9199982,133.6000061,118.5299988,121.5999985,111.0029984,131.8860016,118.1200027,77972000,1112500
3/11/2020,126.8460007,106.1100006,126.8460007,106.1100006,130.7160034,115.7799988,122.5999985,100.1200027,128.0399933,113.3899994,66612500,2090300
3/12/2020,112.1100006,90.72000122,112.1100006,90.72000122,118.9000015,97.12000275,109.25,83.33000183,116.1780014,90.83999634,94545500,1919900
3/13/2020,109.3239975,91.11000061,109.3239975,91.11000061,121.5139999,102,100.4000015,88.01000214,119,99.75,113201500,2088200
3/16/2020,89.01399994,81.19000244,89.01399994,81.19000244,98.97399902,85.58999634,88.43399811,73.44000244,93.90000153,79.48000336,102447500,1571500
3/17/2020,86.04000092,84.70999908,86.04000092,84.70999908,94.37000275,88,79.19999695,76.08000183,88.0019989,82.01999664,119973000,1814300
3/18/2020,72.2440033,76.73000336,72.2440033,76.73000336,80.97200012,82.45999908,70.10199738,69.72000122,77.80000305,79.48000336,118931000,1513900
3/19/2020,85.52799988,76.80999756,85.52799988,76.80999756,90.40000153,81.98999786,71.69200134,68.26000214,74.94000244,75.58000183,150977500,1965500
3/20/2020,85.5059967,69.61000061,85.5059967,69.61000061,95.40000153,83.59999847,85.15799713,69.52999878,87.63999939,81.88999939,141427500,1971400
3/23/2020,86.85800171,69.48000336,86.85800171,69.48000336,88.40000153,73.54000092,82.09999847,67.01999664,86.72000122,71.22000122,82272500,1492400
3/24/2020,101,85.30999756,101,85.30999756,102.737999,86.29000092,94.80000305,76.67500305,95.45999908,76.67500305,114476000,1852700
3/25/2020,107.8499985,89.90000153,107.8499985,89.90000153,111.4000015,94.5,102.2220001,82,109.0500031,87.87999725,106113500,2198100
3/26/2020,105.6320038,90.44999695,105.6320038,90.44999695,112,95,102.4499969,87.19000244,109.4779968,91.33000183,86903500,983700
3/27/2020,102.8720016,82.37000275,102.8720016,82.37000275,105.1600037,86.73999786,98.80599976,82,101,86.12000275,71887000,962000
